Graduate_ID,Age,Gender,State_of_Origin,Region,Urban_or_Rural,Household_Income_Bracket,Field_of_Study,University_Type,GPA_or_Class_of_Degree,Has_Postgrad_Degree,Years_Since_Graduation,Employment_Status,Salary_Level,Net_Salary
G1442,23,Female,Kaduna,North,Urban,Middle,Health Sciences,Federal,First Class,Yes,6,Employed,Low-paid,126699
G1443,24,Male,Plateau,West,Urban,Low,Engineering,State,Second Class Lower,No,7,Unemployed,Not employed,0
G1444,29,Male,Rivers,North,Rural,High,Engineering,Federal,Third Class,Yes,0,Employed,Low-paid,154835
G1445,30,Female,Borno,North,Rural,Middle,Education,Federal,Second Class Upper,No,7,Unemployed,Not employed,0
G1446,31,Male,Rivers,South,Urban,Low,Engineering,Federal,Second Class Upper,No,2,Unemployed,Not employed,0
G1447,26,Female,Borno,South,Rural,Middle,Health Sciences,State,Second Class Upper,No,2,Unemployed,Not employed,0
G1448,22,Female,Borno,South,Urban,High,Business,State,Second Class Upper,No,5,Employed,Well-paid,284321
G1449,27,Female,Plateau,West,Urban,Low,Business,Federal,Second Class Upper,No,3,Employed,Low-paid,167004
G1450,22,Male,Kano,East,Rural,Middle,Health Sciences,State,Second Class Upper,Yes,3,Employed,Low-paid,172297
G1451,31,Female,Oyo,North,Urban,Middle,Business,Federal,Second Class Lower,No,3,Employed,Low-paid,67585
G1452,22,Male,Plateau,North,Urban,Middle,Engineering,State,Second Class Upper,No,9,Employed,Well-paid,347732
G1453,31,Female,Kano,West,Urban,Middle,Business,Federal,First Class,No,8,Employed,Low-paid,145781
G1454,21,Female,Kano,North,Urban,Low,Health Sciences,State,Second Class Upper,Yes,7,Employed,Well-paid,315318
G1455,31,Female,Enugu,West,Rural,Low,Business,Private,Second Class Lower,No,2,Unemployed,Not employed,0
G1456,31,Female,Delta,West,Rural,Low,Engineering,Federal,Second Class Upper,No,0,Employed,Low-paid,167273
G1457,32,Female,Delta,West,Rural,Low,Engineering,Federal,Third Class,Yes,0,Employed,Low-paid,56968
G1458,31,Male,Delta,East,Rural,Middle,Health Sciences,Federal,Second Class Upper,No,0,Unemployed,Not employed,0
G1459,23,Female,Edo,West,Rural,Middle,Health Sciences,Federal,Second Class Upper,No,3,Unemployed,Not employed,0
G1460,26,Male,Plateau,East,Rural,Low,Health Sciences,Federal,Second Class Upper,Yes,5,Unemployed,Not employed,0
G1461,28,Female,Kano,East,Urban,Middle,Education,State,Second Class Lower,No,3,Unemployed,Not employed,0
G1462,29,Female,Enugu,North,Rural,Middle,Education,Private,Second Class Upper,No,10,Unemployed,Not employed,0
G1463,27,Female,Borno,South,Urban,Low,Engineering,Federal,Second Class Upper,No,10,Employed,Low-paid,117249
G1464,24,Male,Oyo,East,Rural,Middle,Education,State,Second Class Lower,No,2,Employed,Well-paid,340312
G1465,26,Female,Oyo,East,Urban,Middle,Education,State,Second Class Lower,No,7,Employed,Low-paid,86119
G1466,25,Male,Borno,South,Rural,Middle,Business,State,First Class,Yes,7,Employed,Low-paid,156397
G1467,28,Male,Rivers,East,Rural,Low,Education,Federal,Second Class Lower,No,5,Employed,Well-paid,361110
G1468,21,Male,Rivers,South,Rural,Middle,Business,Federal,Second Class Upper,Yes,8,Employed,Low-paid,63100
G1469,21,Male,Delta,North,Rural,High,Health Sciences,Federal,Second Class Upper,No,9,Employed,Low-paid,92794
G1470,33,Male,Plateau,West,Urban,Middle,Business,Federal,Second Class Upper,No,0,Employed,Low-paid,154519
G1471,31,Female,Edo,South,Urban,Low,Business,State,Second Class Upper,Yes,7,Employed,Low-paid,98121
G1472,26,Male,Enugu,West,Urban,Middle,Health Sciences,State,First Class,No,5,Unemployed,Not employed,0
G1473,30,Male,Oyo,South,Urban,Low,Health Sciences,Federal,Second Class Upper,No,0,Employed,Well-paid,209143
G1474,32,Female,Delta,West,Urban,Middle,Engineering,Federal,Second Class Upper,No,3,Unemployed,Not employed,0
G1475,22,Male,Lagos,North,Urban,Low,Engineering,Private,Second Class Upper,No,4,Employed,Well-paid,259376
G1476,25,Female,Delta,East,Urban,Low,Engineering,State,First Class,No,6,Unemployed,Not employed,0
G1477,21,Female,Lagos,North,Rural,Middle,Engineering,State,Second Class Upper,No,7,Unemployed,Not employed,0
G1478,27,Female,Kaduna,East,Rural,Low,Business,Federal,Second Class Upper,No,8,Employed,Well-paid,283144
G1479,21,Female,Kano,West,Urban,Middle,Business,State,Second Class Upper,No,5,Employed,Well-paid,306528
G1480,24,Female,Borno,West,Urban,Low,Engineering,State,Second Class Lower,Yes,9,Employed,Well-paid,282016
G1481,29,Female,Kano,East,Urban,Low,Education,State,Second Class Upper,No,8,Unemployed,Not employed,0
G1482,21,Male,Delta,South,Urban,Middle,Engineering,Federal,Second Class Upper,No,3,Unemployed,Not employed,0
G1483,24,Female,Kano,North,Urban,High,Education,Federal,Second Class Upper,Yes,7,Unemployed,Not employed,0
G1484,26,Male,Enugu,South,Urban,Low,Health Sciences,Federal,Second Class Lower,Yes,2,Employed,Well-paid,330604
G1485,26,Female,Kaduna,West,Urban,Middle,Business,State,First Class,Yes,3,Employed,Well-paid,278737
G1486,32,Male,Edo,North,Urban,Low,Business,Private,Second Class Upper,No,9,Unemployed,Not employed,0
G1487,33,Female,Kaduna,North,Urban,Middle,Education,Private,Second Class Upper,No,3,Employed,Low-paid,118677
G1488,28,Male,Oyo,South,Urban,Middle,Engineering,Private,Third Class,No,5,Employed,Low-paid,179940
G1489,21,Female,Enugu,East,Rural,Low,Business,Federal,Second Class Upper,No,8,Employed,Low-paid,142889
G1490,27,Male,Kano,East,Rural,Middle,Education,Federal,First Class,No,5,Unemployed,Not employed,0
G1491,21,Female,Edo,North,Urban,Low,Health Sciences,Federal,Second Class Upper,No,0,Employed,Well-paid,277006
G1492,33,Female,Kano,East,Urban,Low,Health Sciences,Federal,Second Class Upper,No,4,Employed,Low-paid,197627
G1493,34,Male,Plateau,West,Urban,Middle,Business,State,First Class,No,8,Employed,Well-paid,385077
G1494,27,Female,Plateau,South,Urban,Middle,Engineering,State,Second Class Lower,No,4,Unemployed,Not employed,0
G1495,23,Female,Rivers,South,Urban,Middle,Education,Federal,Second Class Upper,No,5,Employed,Low-paid,145133
G1496,31,Female,Kaduna,South,Urban,Middle,Business,State,Second Class Upper,Yes,2,Employed,Low-paid,80090
G1497,28,Male,Edo,North,Urban,Middle,Health Sciences,Private,Second Class Upper,Yes,7,Employed,Low-paid,75476
G1498,23,Male,Plateau,North,Urban,Middle,Engineering,Federal,Second Class Upper,No,9,Unemployed,Not employed,0
G1499,34,Male,Rivers,East,Rural,Low,Education,Federal,Second Class Upper,No,10,Unemployed,Not employed,0
G1500,34,Male,Enugu,South,Urban,Middle,Business,Federal,Second Class Upper,No,3,Unemployed,Not employed,0
G1501,33,Female,Edo,West,Urban,Middle,Education,Federal,Second Class Lower,No,3,Employed,Low-paid,114004
G1502,21,Male,Rivers,West,Urban,Middle,Engineering,State,Second Class Upper,No,10,Unemployed,Not employed,0
G1503,33,Female,Borno,South,Urban,Middle,Engineering,Federal,Second Class Upper,Yes,4,Employed,Low-paid,124469
G1504,33,Male,Edo,North,Rural,Low,Health Sciences,Federal,Second Class Lower,No,9,Employed,Low-paid,170119
G1505,34,Female,Delta,North,Urban,Middle,Engineering,Private,First Class,No,8,Employed,Well-paid,371377
G1506,28,Female,Rivers,North,Urban,Low,Business,State,Second Class Lower,No,7,Employed,Low-paid,175494
G1507,23,Female,Kano,West,Urban,Middle,Education,Federal,First Class,No,6,Unemployed,Not employed,0
G1508,22,Male,Delta,South,Urban,Middle,Engineering,Private,Second Class Upper,No,4,Employed,Low-paid,125650
G1509,21,Male,Borno,West,Urban,High,Engineering,Federal,Second Class Upper,Yes,8,Employed,Low-paid,93657
G1510,34,Male,Plateau,South,Urban,Middle,Business,Federal,Second Class Upper,Yes,8,Employed,Low-paid,173270
G1511,23,Male,Lagos,West,Rural,High,Education,State,First Class,No,9,Employed,Well-paid,299262
G1512,22,Male,Rivers,West,Urban,Middle,Education,Federal,Second Class Lower,No,9,Employed,Well-paid,362930
G1513,22,Male,Enugu,East,Urban,High,Health Sciences,State,Third Class,Yes,1,Employed,Well-paid,319358
G1514,26,Male,Rivers,West,Urban,Middle,Health Sciences,Federal,Second Class Upper,Yes,3,Employed,Well-paid,372375
G1515,32,Female,Lagos,South,Rural,High,Education,Federal,Second Class Lower,No,7,Employed,Low-paid,184553
G1516,21,Male,Borno,West,Rural,Low,Business,State,Second Class Upper,No,0,Employed,Well-paid,262841
G1517,22,Female,Borno,East,Rural,Low,Business,Federal,Second Class Lower,No,4,Unemployed,Not employed,0
G1518,34,Male,Delta,East,Rural,Middle,Health Sciences,State,Second Class Upper,No,7,Employed,Low-paid,57931
G1519,26,Female,Edo,South,Rural,High,Engineering,State,Second Class Lower,No,1,Unemployed,Not employed,0
G1520,23,Female,Enugu,East,Urban,Middle,Business,Private,First Class,No,1,Unemployed,Not employed,0
G1521,24,Female,Delta,East,Rural,Low,Engineering,State,Second Class Lower,No,7,Unemployed,Not employed,0
G1522,21,Female,Enugu,North,Rural,Middle,Business,Federal,Second Class Lower,No,9,Employed,Low-paid,156951
G1523,28,Male,Enugu,South,Urban,Middle,Education,State,Second Class Upper,No,8,Employed,Well-paid,254694
G1524,33,Female,Lagos,East,Urban,Low,Health Sciences,State,Second Class Upper,No,6,Unemployed,Not employed,0
G1525,27,Male,Delta,East,Rural,Middle,Engineering,State,Second Class Lower,No,7,Employed,Well-paid,208635
G1526,27,Male,Enugu,East,Rural,High,Engineering,State,Second Class Upper,No,4,Employed,Low-paid,95252
G1527,23,Female,Oyo,South,Rural,High,Education,State,Second Class Upper,No,0,Employed,Well-paid,390826
G1528,30,Female,Lagos,North,Rural,Low,Business,Federal,Second Class Upper,No,3,Employed,Low-paid,119017
G1529,30,Male,Borno,West,Rural,Low,Engineering,State,Second Class Lower,No,1,Unemployed,Not employed,0
G1530,23,Female,Lagos,North,Urban,Low,Business,Federal,Second Class Upper,Yes,2,Employed,Low-paid,116953
G1531,34,Female,Kano,South,Urban,Low,Education,Federal,First Class,No,2,Employed,Low-paid,137776
G1532,22,Male,Kano,South,Urban,Low,Health Sciences,State,Second Class Lower,No,8,Employed,Well-paid,273212
G1533,32,Male,Enugu,South,Urban,Middle,Engineering,Federal,Second Class Upper,No,9,Employed,Low-paid,122547
G1534,21,Male,Delta,West,Urban,Low,Business,Federal,Second Class Upper,Yes,3,Employed,Well-paid,386933
G1535,27,Male,Borno,South,Urban,High,Engineering,Federal,Second Class Upper,No,1,Employed,Well-paid,348126
G1536,27,Male,Lagos,North,Urban,High,Business,State,Second Class Lower,Yes,2,Unemployed,Not employed,0
G1537,32,Male,Delta,East,Rural,Low,Business,Federal,Second Class Upper,No,2,Employed,Low-paid,104565
G1538,22,Male,Lagos,East,Urban,High,Business,State,Second Class Upper,Yes,6,Unemployed,Not employed,0
G1539,27,Female,Lagos,South,Rural,Middle,Education,Federal,Second Class Lower,No,7,Employed,Low-paid,105153
G1540,33,Female,Oyo,South,Rural,Middle,Health Sciences,Federal,First Class,No,10,Employed,Well-paid,349740
G1541,28,Other,Kano,West,Urban,Low,Engineering,Federal,Second Class Lower,No,5,Employed,Low-paid,165095
G1542,21,Male,Lagos,East,Urban,Middle,Health Sciences,State,Second Class Upper,No,3,Employed,Well-paid,362970
G1543,29,Female,Oyo,West,Rural,Low,Business,Federal,Second Class Lower,No,5,Unemployed,Not employed,0
G1544,27,Female,Kano,West,Rural,Middle,Business,Private,Second Class Upper,No,10,Unemployed,Not employed,0
G1545,23,Female,Oyo,West,Urban,Low,Health Sciences,Private,Second Class Lower,No,0,Employed,Well-paid,299281
G1546,28,Male,Delta,West,Urban,Middle,Health Sciences,State,Second Class Upper,No,9,Employed,Low-paid,98561
G1547,27,Female,Edo,North,Urban,Low,Engineering,Private,First Class,No,7,Unemployed,Not employed,0
G1548,31,Male,Kano,South,Urban,Low,Business,Federal,Second Class Lower,No,0,Employed,Well-paid,287473
G1549,33,Male,Plateau,South,Urban,Middle,Health Sciences,State,First Class,No,4,Employed,Well-paid,323022
G1550,28,Female,Edo,West,Urban,Middle,Education,State,Second Class Lower,No,1,Unemployed,Not employed,0
G1551,26,Female,Delta,West,Urban,Middle,Business,State,Second Class Upper,No,5,Employed,Well-paid,329552
G1552,29,Male,Lagos,North,Rural,Low,Business,State,Second Class Upper,No,8,Unemployed,Not employed,0
G1553,25,Female,Borno,West,Urban,High,Engineering,State,Second Class Lower,No,4,Employed,Well-paid,223836
G1554,23,Female,Delta,North,Rural,Middle,Education,Private,Second Class Upper,No,3,Unemployed,Not employed,0
G1555,23,Female,Oyo,North,Rural,Low,Engineering,Federal,Second Class Lower,No,1,Employed,Well-paid,260420
G1556,21,Female,Oyo,West,Rural,Middle,Education,State,Second Class Upper,No,2,Employed,Low-paid,58911
G1557,32,Male,Oyo,South,Urban,Middle,Engineering,State,Second Class Upper,No,5,Employed,Low-paid,141216
G1558,28,Other,Oyo,North,Urban,Low,Education,State,Second Class Lower,No,7,Employed,Low-paid,123080
G1559,22,Female,Delta,South,Rural,Middle,Education,Federal,Second Class Upper,No,7,Employed,Low-paid,72289
G1560,23,Male,Borno,South,Rural,Middle,Education,State,Second Class Upper,No,4,Employed,Low-paid,81346
G1561,28,Female,Rivers,North,Urban,Middle,Health Sciences,Private,Second Class Lower,Yes,4,Employed,Low-paid,75644
G1562,34,Female,Oyo,East,Urban,Low,Business,Federal,Second Class Upper,No,9,Unemployed,Not employed,0
G1563,28,Female,Rivers,North,Rural,High,Education,State,Second Class Upper,Yes,2,Employed,Low-paid,78279
G1564,34,Female,Borno,East,Urban,Low,Health Sciences,Federal,Second Class Lower,No,6,Employed,Well-paid,295446
G1565,31,Female,Borno,North,Urban,High,Health Sciences,Private,Second Class Lower,No,5,Employed,Well-paid,248638
G1566,24,Female,Edo,North,Rural,Low,Engineering,Federal,Second Class Upper,No,0,Employed,Low-paid,163917
G1567,24,Female,Kano,South,Urban,Middle,Business,Federal,Second Class Upper,No,3,Employed,Well-paid,234341
G1568,25,Female,Plateau,South,Urban,Middle,Business,Federal,Second Class Lower,No,5,Employed,Low-paid,169660
G1569,26,Male,Enugu,West,Rural,Low,Engineering,State,Second Class Upper,No,10,Unemployed,Not employed,0
G1570,25,Female,Plateau,South,Urban,Middle,Business,Federal,Second Class Upper,No,5,Employed,Low-paid,168481
G1571,34,Male,Delta,South,Urban,Middle,Engineering,State,Third Class,No,10,Employed,Well-paid,354975
G1572,27,Female,Enugu,South,Urban,Low,Health Sciences,Private,First Class,No,2,Unemployed,Not employed,0
G1573,22,Female,Borno,South,Urban,Middle,Health Sciences,State,Second Class Upper,No,5,Unemployed,Not employed,0
G1574,27,Female,Plateau,West,Rural,Middle,Education,Federal,Second Class Lower,No,9,Employed,Low-paid,150957
G1575,30,Female,Kaduna,South,Urban,Low,Engineering,Private,Second Class Lower,No,5,Unemployed,Not employed,0
G1576,27,Female,Kano,East,Urban,High,Health Sciences,State,Second Class Lower,Yes,8,Employed,Well-paid,397148
G1577,21,Male,Plateau,East,Urban,High,Health Sciences,Federal,Second Class Upper,Yes,8,Unemployed,Not employed,0
G1578,27,Female,Kano,West,Urban,Low,Engineering,Federal,Second Class Upper,No,1,Employed,Low-paid,84979
G1579,25,Male,Rivers,South,Urban,Middle,Health Sciences,Federal,Second Class Lower,No,3,Employed,Low-paid,175576
G1580,23,Male,Delta,East,Urban,Low,Business,State,Second Class Upper,No,8,Unemployed,Not employed,0
G1581,33,Male,Kano,North,Urban,Middle,Health Sciences,Federal,Second Class Lower,No,3,Employed,Low-paid,156626
G1582,23,Female,Rivers,East,Urban,High,Engineering,Federal,First Class,No,7,Employed,Well-paid,265109
G1583,24,Female,Oyo,South,Urban,Low,Business,State,Second Class Lower,No,9,Employed,Well-paid,309239
G1584,33,Female,Rivers,East,Rural,Middle,Business,State,Second Class Upper,No,2,Employed,Low-paid,119356
G1585,32,Male,Delta,North,Urban,Middle,Health Sciences,State,Second Class Upper,No,2,Employed,Low-paid,123226
G1586,22,Female,Edo,East,Urban,Low,Education,State,Second Class Upper,No,8,Employed,Well-paid,303658
G1587,22,Male,Oyo,South,Urban,High,Business,Federal,Second Class Lower,No,10,Employed,Well-paid,335298
G1588,21,Male,Borno,North,Rural,Middle,Engineering,State,First Class,No,9,Employed,Well-paid,290808
G1589,25,Female,Lagos,West,Urban,Middle,Education,Federal,Second Class Upper,No,7,Employed,Low-paid,157533
G1590,24,Male,Rivers,North,Rural,Middle,Education,State,Second Class Upper,No,0,Employed,Low-paid,168525
G1591,31,Male,Rivers,East,Urban,Low,Business,State,Second Class Upper,No,9,Employed,Well-paid,358075
G1592,30,Male,Kano,West,Rural,Low,Health Sciences,Federal,Second Class Lower,No,1,Unemployed,Not employed,0
G1593,22,Male,Borno,North,Urban,High,Education,Private,Second Class Upper,Yes,2,Employed,Well-paid,297571
G1594,23,Male,Plateau,North,Rural,Middle,Health Sciences,Federal,Second Class Upper,No,10,Employed,Low-paid,138601
G1595,27,Male,Kaduna,North,Rural,Middle,Business,Federal,Second Class Upper,No,1,Unemployed,Not employed,0
G1596,27,Female,Enugu,South,Urban,Low,Engineering,Private,Second Class Lower,No,2,Unemployed,Not employed,0
G1597,32,Female,Rivers,West,Urban,Middle,Education,State,Second Class Lower,Yes,7,Employed,Low-paid,118160
G1598,24,Female,Plateau,West,Urban,High,Engineering,State,First Class,No,10,Unemployed,Not employed,0
G1599,25,Other,Kaduna,North,Urban,Low,Health Sciences,State,Second Class Upper,No,10,Employed,Low-paid,55505
G1600,25,Male,Enugu,West,Rural,Low,Health Sciences,State,First Class,Yes,5,Unemployed,Not employed,0
G1601,26,Female,Lagos,East,Urban,Middle,Engineering,Federal,Second Class Lower,No,6,Employed,Low-paid,194453
G1602,34,Other,Kano,East,Urban,Low,Business,Federal,Second Class Upper,No,9,Employed,Well-paid,207549
G1603,29,Male,Plateau,North,Urban,Low,Business,Federal,Second Class Lower,No,9,Employed,Well-paid,251149
G1604,22,Female,Kano,East,Urban,High,Education,Federal,Second Class Upper,Yes,5,Unemployed,Not employed,0
G1605,25,Male,Enugu,North,Rural,High,Education,State,Second Class Lower,No,0,Employed,Low-paid,191275
G1606,32,Male,Edo,East,Rural,Middle,Business,Federal,Second Class Upper,No,10,Employed,Low-paid,193000
G1607,23,Male,Rivers,North,Urban,Middle,Business,Federal,Second Class Lower,Yes,2,Employed,Low-paid,63457
G1608,24,Female,Oyo,North,Rural,High,Engineering,Federal,First Class,No,0,Unemployed,Not employed,0
G1609,30,Female,Kaduna,West,Rural,Middle,Health Sciences,State,Second Class Upper,No,9,Unemployed,Not employed,0
G1610,26,Female,Borno,West,Urban,Low,Health Sciences,State,Second Class Lower,No,8,Employed,Low-paid,175293
G1611,32,Male,Delta,North,Rural,Low,Education,Federal,Second Class Upper,No,8,Employed,Low-paid,172465
G1612,28,Male,Rivers,West,Urban,Low,Business,State,First Class,No,4,Employed,Low-paid,74587
G1613,21,Male,Oyo,West,Urban,Low,Engineering,Federal,Third Class,No,3,Employed,Well-paid,259354
G1614,30,Male,Delta,South,Urban,Low,Education,State,Second Class Upper,No,8,Unemployed,Not employed,0
G1615,34,Female,Plateau,East,Rural,Low,Engineering,Federal,Second Class Upper,No,8,Employed,Low-paid,151911
G1616,28,Male,Delta,West,Urban,Low,Business,Federal,Second Class Upper,No,2,Employed,Low-paid,75312
G1617,31,Female,Lagos,North,Urban,Low,Business,State,Second Class Upper,No,4,Employed,Low-paid,116045
G1618,34,Female,Rivers,South,Urban,Middle,Business,Private,Second Class Lower,No,2,Employed,Low-paid,157764
G1619,27,Male,Kano,South,Urban,Low,Health Sciences,Federal,Second Class Upper,No,9,Employed,Low-paid,187166
G1620,21,Female,Edo,West,Rural,Middle,Business,State,Second Class Upper,No,1,Employed,Well-paid,277994
G1621,22,Male,Borno,North,Urban,Low,Education,State,Second Class Upper,No,0,Employed,Well-paid,238513
G1622,23,Male,Kano,North,Urban,Middle,Health Sciences,Private,Second Class Upper,No,9,Employed,Low-paid,120446
G1623,21,Male,Oyo,North,Urban,High,Engineering,Federal,Second Class Lower,No,1,Employed,Low-paid,56572
G1624,34,Female,Rivers,North,Urban,Middle,Education,Federal,Second Class Lower,No,7,Employed,Well-paid,368140
G1625,29,Male,Edo,North,Urban,Middle,Education,State,Second Class Upper,No,10,Employed,Low-paid,190153
G1626,28,Female,Delta,East,Urban,High,Engineering,Federal,First Class,Yes,7,Unemployed,Not employed,0
G1627,22,Female,Rivers,North,Urban,Low,Health Sciences,Federal,Second Class Lower,No,2,Employed,Low-paid,134872
G1628,33,Male,Delta,North,Urban,High,Education,Federal,First Class,No,6,Employed,Low-paid,90378
G1629,29,Female,Plateau,East,Urban,Middle,Education,State,Second Class Upper,No,6,Unemployed,Not employed,0
G1630,27,Female,Lagos,West,Urban,Middle,Education,Federal,Second Class Upper,No,1,Employed,Low-paid,112189
G1631,29,Male,Enugu,South,Rural,Low,Health Sciences,State,Second Class Upper,No,8,Employed,Well-paid,226084
G1632,26,Male,Rivers,East,Urban,Middle,Health Sciences,Federal,Second Class Lower,No,2,Employed,Low-paid,147240
G1633,26,Female,Oyo,South,Rural,Middle,Health Sciences,Federal,Second Class Upper,No,1,Employed,Low-paid,110681
G1634,31,Male,Delta,South,Urban,Middle,Education,Federal,Third Class,No,2,Employed,Well-paid,399641
G1635,34,Female,Kano,East,Urban,Middle,Business,Federal,Second Class Upper,No,1,Employed,Low-paid,72418
G1636,24,Male,Plateau,North,Urban,Low,Engineering,State,Second Class Upper,No,7,Unemployed,Not employed,0
G1637,30,Male,Oyo,South,Urban,Low,Business,State,Third Class,No,4,Unemployed,Not employed,0
G1638,30,Male,Borno,North,Urban,Middle,Health Sciences,Federal,Second Class Lower,Yes,2,Employed,Well-paid,373799
G1639,33,Male,Enugu,West,Rural,Low,Education,Federal,Second Class Lower,No,4,Employed,Well-paid,274860
G1640,33,Female,Plateau,East,Urban,Low,Education,State,Second Class Upper,No,10,Employed,Well-paid,363304
G1641,22,Male,Lagos,South,Urban,Low,Business,State,Second Class Lower,No,10,Employed,Low-paid,132168
G1642,27,Female,Enugu,North,Urban,Low,Business,State,Second Class Upper,No,7,Employed,Low-paid,189075
G1643,25,Female,Delta,South,Rural,Middle,Engineering,State,Second Class Upper,No,6,Unemployed,Not employed,0
G1644,31,Female,Oyo,West,Rural,Low,Education,Federal,Second Class Upper,No,5,Employed,Low-paid,112468
G1645,26,Female,Borno,West,Urban,High,Business,State,Second Class Upper,No,0,Unemployed,Not employed,0
G1646,22,Male,Kaduna,South,Urban,Middle,Engineering,Federal,Second Class Lower,No,9,Unemployed,Not employed,0
G1647,25,Male,Lagos,East,Urban,Middle,Health Sciences,Federal,Second Class Lower,No,0,Unemployed,Not employed,0
G1648,30,Female,Edo,West,Rural,Low,Business,State,First Class,No,0,Employed,Low-paid,118211
G1649,24,Male,Delta,North,Rural,Middle,Health Sciences,Private,Second Class Upper,No,9,Employed,Well-paid,275012
G1650,29,Female,Kaduna,West,Rural,Middle,Engineering,State,Second Class Lower,Yes,7,Employed,Well-paid,219259
G1651,26,Male,Rivers,North,Urban,High,Health Sciences,Federal,Second Class Upper,No,7,Employed,Well-paid,371134
G1652,22,Female,Borno,South,Urban,Middle,Education,Federal,Second Class Upper,No,6,Employed,Low-paid,99179
G1653,21,Female,Kano,North,Rural,Middle,Education,Federal,First Class,No,5,Employed,Low-paid,130099
G1654,25,Female,Edo,South,Rural,High,Health Sciences,State,Second Class Upper,Yes,3,Employed,Low-paid,198096
G1655,29,Female,Oyo,West,Rural,Low,Education,Federal,Third Class,No,0,Employed,Low-paid,111980
G1656,26,Female,Borno,East,Urban,Low,Engineering,State,Second Class Upper,No,8,Unemployed,Not employed,0
G1657,30,Female,Enugu,West,Urban,Middle,Education,Federal,Second Class Upper,No,0,Employed,Well-paid,285170
G1658,32,Female,Plateau,West,Urban,Low,Health Sciences,State,Second Class Lower,No,3,Employed,Low-paid,119283
G1659,27,Male,Enugu,West,Rural,Low,Health Sciences,Private,First Class,No,2,Employed,Well-paid,251871
G1660,25,Male,Enugu,West,Urban,Middle,Health Sciences,Federal,Second Class Lower,No,6,Unemployed,Not employed,0
G1661,30,Male,Rivers,East,Urban,Low,Business,Federal,Second Class Upper,No,4,Employed,Low-paid,70287
G1662,26,Female,Lagos,West,Urban,Middle,Health Sciences,State,Second Class Lower,No,4,Employed,Well-paid,225887
G1663,25,Male,Kano,North,Urban,High,Engineering,State,First Class,No,3,Employed,Well-paid,328493
G1664,31,Female,Edo,East,Urban,Low,Education,State,First Class,No,0,Unemployed,Not employed,0
G1665,29,Female,Lagos,East,Urban,Low,Education,State,Second Class Upper,Yes,4,Unemployed,Not employed,0
G1666,26,Female,Borno,North,Urban,Low,Business,Federal,Second Class Upper,No,3,Employed,Low-paid,174370
G1667,31,Female,Enugu,South,Rural,Low,Business,State,Second Class Lower,No,9,Employed,Well-paid,217802
G1668,28,Male,Rivers,West,Rural,Low,Engineering,Federal,First Class,No,7,Employed,Well-paid,273135
G1669,22,Female,Borno,East,Urban,Low,Health Sciences,Private,Second Class Upper,No,1,Employed,Low-paid,59650
G1670,32,Female,Plateau,West,Rural,Middle,Business,Federal,First Class,No,7,Employed,Well-paid,350915
G1671,33,Male,Kano,West,Urban,Low,Education,State,Second Class Lower,No,0,Unemployed,Not employed,0
G1672,29,Male,Edo,North,Rural,Middle,Business,Federal,Second Class Lower,No,3,Unemployed,Not employed,0
G1673,25,Female,Plateau,North,Rural,High,Business,Federal,Second Class Upper,No,2,Employed,Well-paid,385128
G1674,27,Female,Rivers,North,Urban,Middle,Health Sciences,Federal,Second Class Upper,No,4,Employed,Well-paid,361304
G1675,30,Male,Kano,West,Urban,Middle,Business,State,Second Class Upper,No,4,Employed,Low-paid,155646
G1676,33,Female,Borno,East,Urban,Low,Engineering,State,Second Class Upper,Yes,4,Unemployed,Not employed,0
G1677,21,Female,Enugu,East,Rural,Middle,Education,State,Second Class Upper,No,3,Unemployed,Not employed,0
G1678,30,Male,Enugu,South,Urban,Low,Health Sciences,Federal,Second Class Upper,No,7,Employed,Well-paid,243527
G1679,25,Other,Delta,West,Urban,Low,Education,State,Third Class,No,2,Employed,Well-paid,242297
G1680,32,Female,Enugu,South,Urban,Middle,Engineering,State,Second Class Lower,No,3,Employed,Low-paid,79185
G1681,34,Female,Kaduna,South,Rural,Low,Engineering,Federal,Second Class Upper,No,0,Employed,Low-paid,167769
G1682,30,Female,Enugu,South,Rural,Low,Business,Federal,Second Class Upper,No,6,Unemployed,Not employed,0
G1683,34,Male,Kaduna,South,Urban,High,Business,Federal,Third Class,Yes,0,Employed,Low-paid,181418
G1684,22,Male,Oyo,South,Rural,High,Business,Federal,Second Class Upper,No,1,Unemployed,Not employed,0
G1685,32,Male,Kaduna,West,Rural,Low,Education,Federal,Second Class Upper,No,10,Employed,Well-paid,380340
G1686,26,Male,Kano,North,Rural,Low,Engineering,State,Second Class Lower,No,6,Unemployed,Not employed,0
G1687,31,Male,Plateau,South,Urban,Middle,Health Sciences,Federal,Second Class Upper,No,0,Employed,Well-paid,243418
G1688,21,Female,Kano,East,Urban,Middle,Business,State,First Class,No,10,Unemployed,Not employed,0
G1689,23,Female,Plateau,West,Urban,Low,Education,Private,Second Class Upper,No,2,Employed,Low-paid,59612
G1690,25,Female,Delta,South,Urban,Middle,Business,State,First Class,No,5,Employed,Low-paid,135002
G1691,24,Female,Oyo,East,Urban,High,Engineering,State,Second Class Upper,No,5,Employed,Low-paid,182703
G1692,23,Female,Plateau,South,Urban,Low,Health Sciences,Federal,Second Class Upper,No,5,Employed,Well-paid,398607
G1693,30,Male,Plateau,North,Urban,High,Engineering,State,Second Class Upper,No,10,Employed,Well-paid,257211
